Southwestern Ojibwe,English(raw),Conjugation,English(formatted)
maacaa,s/he leaves,3s AI Independent Indicative,they(sing.) leave
niimi,s/he dances,3s AI Independent Indicative,they(sing.) dance
waniššin,s/he is lost,3s AI Independent Indicative,they(sing.) are lost
miccaa,it is big,0s II Independent Indicative,it is big
sanakat,it is difficult,0s II Independent Indicative,it is difficult
pankissin,it falls,0s II Independent Indicative,it falls
maacaatok,s/he must be leaving,3s AI Independent Dubitative,they(sing.) must be leaving
niimiwitok,s/he must be dancing,3s AI Independent Dubitative,they(sing.) must be dancing
waniššinowitok,s/he must be lost,3s AI Independent Dubitative,they(sing.) must be lost
maacaatokenak,they (anim.) must be leaving,3p AI Independent Dubitative,they(plur.) must be leaving
niimiwitokenak,they (anim.) must be dancing,3p AI Independent Dubitative,they(plur.) must be dancing
waniššinowitokenak,they (anim.) must be lost,3p AI Independent Dubitative,they(plur.) must be lost
maacaatokenan,"s/he, they (obv.) must be leaving",3' AI Independent Dubitative,they(plur.) must be leaving
maacaatokenan,"s/he, they (obv.) must be leaving",3' AI Independent Dubitative,they(sing.) must be leaving
niimiwitokenan,"s/he, they (obv.) must be dancing",3' AI Independent Dubitative,they(plur.) must be dancing
niimiwitokenan,"s/he, they (obv.) must be dancing",3' AI Independent Dubitative,they(sing.) must be dancing
waniššinowitokenan,"s/he, they (obv.) must be lost",3' AI Independent Dubitative,they(plur.) must be lost
waniššinowitokenan,"s/he, they (obv.) must be lost",3' AI Independent Dubitative,they(sing.) must be lost
maacaanit,"s/he, they leave",3' AI Conjunct Indicative,they(plur.) leave
maacaanit,"s/he, they leave",3' AI Conjunct Indicative,they(sing.) leave
waniššininit,"s/he, they are lost",3' AI Conjunct Indicative,they(plur.) are lost
waniššininit,"s/he, they are lost",3' AI Conjunct Indicative,they(sing.) are lost
maacaank,people leave,X AI Conjunct Indicative,people leave
waniššinink,people are lost,X AI Conjunct Indicative,people are lost
maacaankipan,people left,X AI Conjunct Preterit,people left
waniššininkipan,people were lost,X AI Conjunct Preterit,people were lost
maacaakopan,s/he must have left,3s AI Independent Dubitative Preterit,they(sing.) must have left
waniššinokopan,s/he must have been lost,3s AI Independent Dubitative Preterit,they(sing.) must have been lost
maacaakopanen,s/he must have left,3s AI Conjunct Dubitative Preterit,they(sing.) must have left
waniššinokopanen,s/he must have been lost,3s AI Conjunct Dubitative Preterit,they(sing.) must have been lost
maacaakwaapan,they (anim.) must have left,3p AI Independent Dubitative Preterit,they(plur.) must have left
waniššinokwaapan,they (anim.) must have been lost,3p AI Independent Dubitative Preterit,they(plur.) must have been lost
maacaawaat,they leave,3p AI Conjunct Indicative,they(plur.) leave
waniššinowaat,they are lost,3p AI Conjunct Indicative,they(plur.) are lost
maacaapan,s/he left,3s AI Independent Preterit,they(sing.) left
niimiipan,s/he danced,3s AI Independent Preterit,they(sing.) danced
waniššinoopan,s/he was lost,3s AI Independent Preterit,they(sing.) was lost
maacaapanek,they (anim.) left,3p AI Independent Preterit,they(plur.) left
niimiipanek,they (anim.) danced,3p AI Independent Preterit,they(plur.) danced
waniššinoopanek,they (anim.) were lost,3p AI Independent Preterit,they(plur.) were lost
maacaapanen,"s/he, they (obv.) left",3' AI Independent Preterit,they(plur.) left
maacaapanen,"s/he, they (obv.) left",3' AI Independent Preterit,they(sing.) left
niimiipanen,"s/he, they (obv.) danced",3' AI Independent Preterit,they(plur.) danced
niimiipanen,"s/he, they (obv.) danced",3' AI Independent Preterit,they(sing.) danced
waniššinoopanen,"s/he, they (obv.) was/were lost",3' AI Independent Preterit,they(plur.) were lost
waniššinoopanen,"s/he, they (obv.) was/were lost",3' AI Independent Preterit,they(sing.) were lost
maacaayaampaan,I left,1s AI Conjunct Preterit,I left
waniššinaampaan,I was lost,1s AI Conjunct Preterit,I was lost
maacaayaan,I leave,1s AI Conjunct Indicative,I leave
waniššinaan,I am lost,1s AI Conjunct Indicative,I am lost
maacaayaank,we (excl.) leave,1p AI Conjunct Indicative,we leave
waniššinaank,we (excl.) are lost,1p AI Conjunct Indicative,we are lost
maacaayaankipan,we (excl.) left,1p AI Conjunct Preterit,we left
waniššinaankipan,we (excl.) were lost,1p AI Conjunct Preterit,we were lost
maacaayampan,you (sg.) left,2s AI Conjunct Preterit,you left
waniššinampan,you (sg.) were lost,2s AI Conjunct Preterit,you were lost
maacaayan,you (sg.) leave,2s AI Conjunct Indicative,you leave
waniššinan,you (sg.) are lost,2s AI Conjunct Indicative,you are lost
maacaayank,we (incl.) leave,21 AI Conjunct Indicative,we leave
waniššinank,we (incl.) are lost,21 AI Conjunct Indicative,we are lost
maacaayankipan,we (incl.) left,21 AI Conjunct Preterit,we left
waniššinankipan,we (incl.) were lost,21 AI Conjunct Preterit,we were lost
maacaayek,you (pl.) leave,2p AI Conjunct Indicative,you leave
waniššinek,you (pl.) are lost,2p AI Conjunct Indicative,you are lost
maacaayekipan,you (pl.) left,2p AI Conjunct Preterit,you left
waniššinekipan,you (pl.) were lost,2p AI Conjunct Preterit,you were lost
waapamaa,people see him/her,X→3s TA Independent Indicative,people see them(sing.)
waapamaakopanen,"s/he must have seen him/her, them (obv.)",3s→3' TA Conjunct Dubitative Preterit,they(sing.) must have seen them(sing.)
waapamaakopanen,"s/he must have seen him/her, them (obv.)",3s→3' TA Conjunct Dubitative Preterit,they(sing.) must have seen them(plur.)
wayaapamaakwen,"s/he must be seeing him/her, them (obv.)",3s→3' TA Conjunct Dubitative,they(sing.) must be seeing them(sing.)
wayaapamaakwen,"s/he must be seeing him/her, them (obv.)",3s→3' TA Conjunct Dubitative,they(sing.) must be seeing them(plur.)
waapamaanikopanen,"s/he, they (obv.) must have seen him/her, them (obv.)",3'→3'' TA Conjunct Dubitative Preterit,they(plur.) must have seen them(sing.)
waapamaanikopanen,"s/he, they (obv.) must have seen him/her, them (obv.)",3'→3'' TA Conjunct Dubitative Preterit,they(plur.) must have seen them(plur.)
waapamaanikopanen,"s/he, they (obv.) must have seen him/her, them (obv.)",3'→3'' TA Conjunct Dubitative Preterit,they(sing.) must have seen them(sing.)
